"business","name","taxcode","latitude","longitude","routines","reinspects","complaints","inspects","ratio","meanscore","highrisks","interval","c1","c2","c3","Score"
"5000","PEETS COFFEE  TEA","H28",37.764947,-122.432012,5,3,1,9,0.6,94,0.4,182,0,0,0,4
"5010","LATTE EXPRESS","H28",37.783225,-122.407252,4,3,1,8,0.75,77,1.75,264,1,1,0,2
"5011","STARBUCKS COFFEE CO","H28",37.778357,-122.415182,5,0,0,5,0,93,0.2,233,0,0,0,4
"5016","The Crab Station of Fishermans Wharf","H28",37.795202,-122.413169,4,2,0,6,0.5,84,0.75,219,1,0,0,3
"5017","COLLEGE MARKET","H28",37.783613,-122.422397,6,1,1,8,0.17,87,0.33,177,0,0,0,4
"5018","McDONALDS","H28",37.775977,-122.418126,5,1,0,6,0.2,88,1,186,0,0,0,4
"5019","PEETS COFFEE  TEA","H28",37.765708,-122.409002,4,0,0,4,0,96,0.25,294,0,0,0,4
"5025","PIZZA HUT","H28",37.743313,-122.421363,5,2,0,7,0.4,96,0.2,219,0,0,0,4
"5029","DREWES BROTHERS","H28",37.743591,-122.426715,5,0,0,5,0,94,0,205,0,0,0,4
"5032","MITCHELLS ICE CREAM","H28",37.744122,-122.422722,4,0,0,4,0,99,0,238,0,0,0,4
"5033","DESTINATION BAKING COMPANY","H28",37.734619,-122.432379,5,3,0,8,0.6,91,0.4,196,0,0,0,4
"5038","MARINA DELI","H28",37.800194,-122.440927,7,0,0,7,0,96,0,136,0,0,0,4
"5039","PRESIDIO THEATRE","H24",37.800128,-122.441914,5,1,0,6,0.2,93,0,244,0,0,0,4
"5049","LEES DELI","H26",37.787113,-122.400052,2,0,0,2,0,86,1,538,0,0,0,4
"5053","JAVA TRADING CO","H28",37.782659,-122.406555,5,0,0,5,0,90,0.4,204,0,0,0,4
"5054","HOT DOG BILLS 1 Lakeside","H28",37.708887,-122.497934,4,0,0,4,0,100,0,231,0,0,0,4
"5065","TEA GARDEN","H24",37.789422,-122.397923,2,0,0,2,0,74,1,388,1,0,0,3
"5068","CITY KINETICS","H28",37.792137,-122.394573,3,0,0,3,0,90,0.33,319,0,0,0,4
