"business","name","taxcode","latitude","longitude","routines","reinspects","complaints","inspects","ratio","mean_score","high_risk_violations","interval"
"11379","ALAMO SQUARE MARKET","H28",37.774824,-122.436094,3,0,0,3,0,93.5,0.5,279.5
"1139","MINI CAFE","H24",37.775867,-122.419356,2,5,1,8,2.5,85,1,350
"11416","El Beach Burrito","H24",37.760851,-122.503998,7,5,1,13,0.714285714285714,93.8571428571429,0.142857142857143,161.833333333333
"1144","Star Bagels","H24",37.790324,-122.420664,4,2,0,6,0.5,85.75,0.75,249.333333333333
"1146","Aux Delices Vietnam","H24",37.798274,-122.422264,6,2,1,9,0.333333333333333,83.1666666666667,0.5,182.2
"1147","UA Twin Stonestown","H24",37.730105,-122.478441,6,0,0,6,0,99.3333333333333,0,193.8
"11492","Burgermeister","H24",37.801696,-122.412257,5,6,0,11,1.2,83.6,0.4,229.25
"1151","POMELO ON CHURCH","H24",37.742325,-122.426476,3,0,0,3,0,93.3333333333333,0,363.5
"1154","SUNFLOWER RESTAURANT","H24",37.764678,-122.421905,6,4,1,11,0.666666666666667,91.5,0.5,174
"1156","Boudin Petit Cafe","H24",37.786548,-122.407313,6,0,0,6,0,96.3333333333333,0,198
"11568","Mijita","H25",37.795225,-122.39377,4,3,0,7,0.75,91,0.5,280.333333333333
"1157","Sutter Cafe","H24",37.789625,-122.405894,5,2,0,7,0.4,89.8,0.2,227
"1159","Zona Rosa","H24",37.769363,-122.451667,5,9,1,15,1.8,92.8,0,225.5
"11594","THE GLAS KAT","H26",37.779237,-122.397709,3,0,0,3,0,97.3333333333333,0,361.5
"116","The Waterfront Restaurant","H24",37.793874,-122.396464,3,3,7,13,1,88.6666666666667,0.666666666666667,382
"11633","Giordano Bros","H24",37.798176,-122.407146,5,2,0,7,0.4,88.4,0.4,201
"11687","MARTHA & BROTHERS","H24",37.712073,-122.454869,3,0,0,3,0,97.3333333333333,0,330
"1172","BALBOA SUSHI HOUSE","H24",37.777315,-122.463004,6,2,0,8,0.333333333333333,97.1666666666667,0.166666666666667,187.2
"1186","TULLY'S  COFFEE","H24",37.792071,-122.434535,5,1,3,9,0.2,89.4,0.2,192.75
"11860","Colibri Mexican Bistro","H26",37.787098,-122.410594,4,4,0,8,1,90,0.5,276.333333333333
"1188","OKINA SUSHI","H24",37.775723,-122.458445,2,0,0,2,0,100,0,329
"1190","MUGUBOKA","H24",37.777206,-122.462975,5,5,2,12,1,88.6,0.6,233
"1193","PEET'S COFFEES & TEAS","H24",37.786754,-122.450476,4,2,0,6,0.5,92.25,0.25,230.333333333333
"1194","SWEET THINGS","H24",37.786453,-122.452807,4,1,0,5,0.25,99,0,246.666666666667
"1199","PANCHO'S","H24",37.781507,-122.456176,3,4,0,7,1.33333333333333,91.6666666666667,0.333333333333333,245.5
"1203","TAWAN'S THAI FOOD","H24",37.780834,-122.46659,5,3,0,8,0.6,93.2,0,183.75
"1204","ROYAL GROUND COFFEE","H24",37.780394,-122.47641,6,3,0,9,0.5,90.6666666666667,0,191.6
"1205","MINAKO JAPANESE RESTAURANT","H24",37.762536,-122.419475,5,4,0,9,0.8,92.6,0.2,185.25
"12051","Squat & Gobble Cafe #2","H25",37.770158,-122.445934,5,5,1,11,1,94.4,0,203.25
"1207","TAQUERIA LA PAZ","H24",37.782732,-122.414139,2,3,3,8,1.5,93,0,219
"1208","SBC Pizza Deli","H28",37.778553,-122.392331,4,0,0,4,0,84,1,246.333333333333
"12083","OOLA RESTAURANT & BAR","H25",37.78093,-122.402669,3,1,0,4,0.333333333333333,87.3333333333333,0.666666666666667,379
"121","Akikos Sushi","H24",37.790643,-122.404676,4,2,0,6,0.5,93.25,0.25,280.666666666667
"1216","ZAOH RESTAURANT","H24",37.773467,-122.418093,3,2,0,5,0.666666666666667,81,0.333333333333333,272.5
"12168","INDIA CLAY OVEN RESTAURANT & BAR","H26",37.782018,-122.485551,5,2,2,9,0.4,94.4,0,235.75
"1219","PAZZO","H24",37.769287,-122.403974,4,0,0,4,0,92.75,0.25,266.333333333333
"1231","Yamo Restaurant","H24",37.761882,-122.419599,5,6,2,13,1.2,90.8,0.4,171.5
"1232","Sunflower Cafe","H24",37.786316,-122.409371,5,4,1,10,0.8,89.6,0,223.75
"12344","The Village Market & Pizza","H25",37.723462,-122.483012,5,1,0,6,0.2,93.2,0.4,220.5
"1241","Banwich","H24",37.742895,-122.477898,6,2,0,8,0.333333333333333,88.8333333333333,0.5,180
"1243","JAVA SUPREME","H24",37.759934,-122.423553,4,3,0,7,0.75,88.5,0.5,269.666666666667
"1244","THANH THANH","H24",37.782053,-122.482799,3,2,0,5,0.666666666666667,82.6666666666667,0.666666666666667,353.5
"12489","Nectar","H25",37.771682,-122.433123,3,0,0,3,0,84.6666666666667,0.666666666666667,290.5
"1249","KABABAYAN FAST FOOD","H24",37.753691,-122.418657,5,5,0,10,1,88.2,0.6,197.5
"1259","KD'S GROG & GROCERY","H24",37.762602,-122.435384,4,1,0,5,0.25,93.5,0,288.333333333333
"126","Broadway Dim Sum","H24",37.797708,-122.408413,4,3,0,7,0.75,74.75,1.25,210.666666666667
"1261","REVERIE COFFEE CAFE","H24",37.766097,-122.449997,3,2,0,5,0.666666666666667,81.3333333333333,0.666666666666667,298.5
"1262","NORTH BEACH PIZZA","H24",37.767286,-122.453075,4,2,0,6,0.5,79,1,301
"1263","LAVA JAVA","H24",37.766812,-122.452974,3,3,0,6,1,86.3333333333333,0.333333333333333,287.5
"1265","STARBUCKS COFFEE CO.","H24",37.764088,-122.465981,4,3,0,7,0.75,93.5,0,268.666666666667
"1266","Jamba Juice","H24",37.763989,-122.466246,4,2,0,6,0.5,95,0,248.666666666667
"1269","STARBUCKS","H24",37.790944,-122.392051,5,0,0,5,0,100,0,220.5
"1273","JAY'S CHEESESTEAK #2","H24",37.774734,-122.437775,3,3,0,6,1,90.6666666666667,0.666666666666667,374.5
"1274","MORNING DUE","H25",37.762939,-122.428473,5,3,1,9,0.6,93,0.6,170.5
"1276","IRVING STREET CAFE","H24",37.764108,-122.465531,4,2,0,6,0.5,75,1,242.333333333333
"1280","AMASIA HIDE'S SUSHI BAR","H24",37.766774,-122.433306,4,0,0,4,0,98.5,0,314
"1282","MAXFIELDS","H24",37.763168,-122.426345,5,2,3,10,0.4,98.4,0,173.5
"1287","Chilango","H24",37.76695,-122.428819,5,4,0,9,0.8,92.6,0.2,172.5
"1289","ORPHAN ANDY'S","H24",37.758132,-122.435614,5,5,2,12,1,91.6,0.4,208.25
"1292","CASTRO THEATRE","H24",37.761952,-122.435029,4,2,2,8,0.5,92.25,0.25,287.333333333333
"1294","ANCHOR OYSTER BAR INC.","H24",37.759613,-122.434817,4,3,0,7,0.75,93,0,245
"1296","TAQUERIA EL BUEN SABOR","H24",37.761743,-122.421492,6,4,1,11,0.666666666666667,96.8333333333333,0.166666666666667,176.2
"1298","FAYE'S VIDEO & ESPRESSO","H24",37.761578,-122.424272,5,0,0,5,0,98.8,0,224.5
